preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,total_revenue,avg_revenue_per_user,utility_gap,revenue_gap,exposure_gap,exposure_random_gap,minority_exposure,price_error_minority,price_error_all
zipfian,fixed,50,0.3,0.95,1,0.9,0.25,111.0,0.37,0.31711014404365284,0.37090909090909085,-0.01333333333333335,0.08666666666666666,0.11333333333333333,,
zipfian,fixed,50,0.3,0.95,3,0.9,0.1,150.0,0.5,0.32571896621722674,0.37364130434782605,-0.06888888888888892,0.03111111111111109,0.1688888888888889,,
zipfian,fixed,50,0.3,0.95,3,0.9,0.25,151.5,0.505,0.3508901041122884,0.38940092165898615,-0.0677777777777778,0.03222222222222221,0.16777777777777778,,
zipfian,fixed,50,0.3,0.99,1,0.9,0.1,135.75,0.4525,0.4046584668823859,0.49363636363636365,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.3,0.99,1,0.9,0.25,135.75,0.4525,0.4046584668823859,0.49363636363636365,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.3,0.99,3,0.9,0.1,152.25,0.5075,0.3432038479787088,0.3536866359447004,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,fixed,50,0.3,0.99,3,0.9,0.25,149.25,0.4975,0.3162821755998003,0.3552077484559237,-0.06555555555555556,0.034444444444444444,0.16555555555555554,,
zipfian,fixed,50,0.7,0.95,1,0.9,0.1,143.25,0.4775,0.21582555237406773,0.1609090909090909,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.7,0.95,1,0.9,0.25,117.0,0.39,0.1783602268255097,0.0981818181818182,-0.01333333333333335,0.08666666666666666,0.11333333333333333,,
zipfian,fixed,50,0.7,0.95,3,0.9,0.1,151.5,0.505,0.24724524522565544,0.35099846390168965,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,fixed,50,0.7,0.95,3,0.9,0.25,151.5,0.505,0.24724524522565544,0.35099846390168965,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,fixed,50,0.7,0.99,1,0.9,0.1,143.25,0.4775,0.21582555237406773,0.1609090909090909,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.7,0.99,1,0.9,0.25,143.25,0.4775,0.21582555237406773,0.1609090909090909,0.019999999999999976,0.11999999999999998,0.08,,
